21:30:06.989 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Starting TripAdvisorApplication using Java 1.8.0_131 on Alphabeta with PID 10376 (D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor\target\classes started by EMPEROR PALPATINE in D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor)
21:30:06.994 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - No active profile set, falling back to default profiles: default
21:30:08.706 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21:30:08.716 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
21:30:08.717 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
21:30:08.717 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
21:30:08.823 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:30:08.823 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1759 ms
21:30:10.632 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@37496720, org.springframework.security.web.context.SecurityContextPersistenceFilter@47406941, org.springframework.security.web.header.HeaderWriterFilter@6504a875, org.springframework.web.filter.CorsFilter@28f9fedd, org.springframework.security.web.authentication.logout.LogoutFilter@4779aae6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5edc70ed, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1bb740f2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@737db7f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17947e6d, org.springframework.security.web.session.SessionManagementFilter@29fa6b65, org.springframework.security.web.access.ExceptionTranslationFilter@433c6abb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1c9fbb61]
21:30:10.688 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
21:30:10.704 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
21:30:10.716 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Started TripAdvisorApplication in 4.267 seconds (JVM running for 5.581)
21:30:46.118 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:30:46.118 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
21:30:46.120 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
21:36:47.718 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21:36:48.326 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
