14:10:49.679 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Starting TripAdvisorApplication using Java 1.8.0_131 on Alphabeta with PID 32360 (D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor\target\classes started by EMPEROR PALPATINE in D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor)
14:10:49.685 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - No active profile set, falling back to default profiles: default
14:10:52.363 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:10:52.377 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:10:52.378 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:10:52.379 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
14:10:52.529 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:10:52.530 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2726 ms
14:10:56.164 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7161457, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d119405, org.springframework.security.web.header.HeaderWriterFilter@64da6cbd, org.springframework.web.filter.CorsFilter@38ee7a9d, org.springframework.security.web.authentication.logout.LogoutFilter@3d9f5016, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4087c7fc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1290ed28, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3610f277, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@629984eb, org.springframework.security.web.session.SessionManagementFilter@47c7a9e5, org.springframework.security.web.access.ExceptionTranslationFilter@3fa21d49, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4733f6f5]
14:10:56.259 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:10:56.295 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:10:56.315 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Started TripAdvisorApplication in 7.513 seconds (JVM running for 9.611)
14:11:08.649 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:11:08.650 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:11:08.652 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
14:11:14.774 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:11:16.204 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:42:42.302 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h27m55s962ms696?s400ns).
