22:18:40.793 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Starting TripAdvisorApplication using Java 1.8.0_131 on Alphabeta with PID 14364 (D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor\target\classes started by EMPEROR PALPATINE in D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor)
22:18:40.795 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - No active profile set, falling back to default profiles: default
22:18:42.282 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
22:18:42.291 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:18:42.292 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
22:18:42.293 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
22:18:42.407 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:18:42.407 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1550 ms
22:18:44.307 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@795f5d51, org.springframework.security.web.context.SecurityContextPersistenceFilter@6242ae3b, org.springframework.security.web.header.HeaderWriterFilter@3e4e4c1, org.springframework.web.filter.CorsFilter@34aeacd1, org.springframework.security.web.authentication.logout.LogoutFilter@326d27ac, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7c2dfa2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@56399b9e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6a87026, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@54067fdc, org.springframework.security.web.session.SessionManagementFilter@3ae126d1, org.springframework.security.web.access.ExceptionTranslationFilter@24841372, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@642413d4]
22:18:44.365 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:18:44.394 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
22:18:44.408 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Started TripAdvisorApplication in 4.099 seconds (JVM running for 5.211)
22:18:48.029 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:18:48.029 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22:18:48.031 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
22:18:51.469 [http-nio-8080-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:18:52.059 [http-nio-8080-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
